name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Marco Trungelliti,2019,2,3,42%,64%,21%,7,43%,6,33%,39%,10%,47%,0,0%,6,0%,26%,32%,121,178,14,,,,,,
Andreas Seppi,2019,176,83,58%,70%,51%,218,59%,355,75%,62%,28%,51%,175,44%,357,22%,37%,50%,37,191,36,4.0,247.3,44.0%,59.2%,71.4%,72.7%
Miomir Kecmanovic,2019,110,66,60%,72%,55%,177,64%,349,82%,65%,26%,53%,189,40%,353,22%,37%,51%,126,183,48,41.0,199.5,40.2%,63.8%,45.5%,50.0%
Gilles Simon,2019,133,79,62%,70%,51%,229,63%,378,78%,63%,29%,51%,232,36%,382,22%,38%,50%,31,183,37,42.0,198.5,36.2%,62.9%,29.4%,70.0%
Pablo Cuevas,2019,72,40,60%,71%,51%,83,61%,153,79%,63%,24%,41%,60,33%,162,12%,30%,47%,90,180,10,,185.1,,,,
Jannik Sinner,2019,64,21,61%,74%,56%,75,73%,141,86%,67%,30%,50%,95,36%,143,24%,37%,52%,553,188,11,19.0,225.8,35.8%,73.3%,16.7%,100.0%
Max Purcell,2019,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,281,185,30,,,,,,
Yuichi Sugita,2019,12,12,58%,69%,57%,21,52%,56,82%,64%,25%,57%,30,30%,56,16%,38%,50%,146,175,28,,177.7,,,,
Elliot Benchetrit,2019,8,2,58%,69%,38%,15,53%,17,59%,56%,23%,44%,6,17%,16,6%,31%,43%,271,193,32,,,,,,
Alejandro Tabilo,2019,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,0,188,17,,,,,,
Daniel Elahi Galan,2019,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,222,191,23,,188.6,,,,
Jordan Thompson,2019,181,60,66%,71%,50%,196,62%,400,81%,64%,28%,49%,206,42%,396,22%,36%,50%,72,183,62,44.0,195.7,41.7%,61.7%,30.8%,61.5%
Alexander Bublik,2019,308,171,58%,75%,46%,126,60%,251,80%,63%,26%,47%,107,36%,253,15%,33%,49%,165,196,49,35.0,204.8,36.4%,59.5%,53.3%,55.6%
Fernando Verdasco,2019,230,84,65%,73%,51%,186,67%,357,83%,65%,28%,50%,211,37%,354,22%,36%,51%,28,188,33,54.0,187.4,37.4%,66.7%,50.0%,33.3%
Evgeny Donskoy,2019,60,20,60%,73%,45%,65,62%,115,78%,62%,25%,43%,37,54%,118,17%,32%,48%,95,185,37,,165.6,,,,
Mikael Ymer,2019,20,11,70%,64%,49%,42,50%,61,66%,59%,29%,48%,32,41%,63,21%,37%,48%,196,183,41,,183.2,,,,
Yasutaka Uchiyama,2019,58,13,62%,80%,54%,29,72%,70,89%,70%,24%,53%,24,58%,70,20%,35%,53%,163,183,43,,,,,,
