ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Popyrin A.,Munar J.,96,90,585,608,6,2,7,6,6,2,,,,,3,0,Completed,1.44,2.75,1.43,3.09,1.48,3.1,1.42,2.9
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Monfils G.,Karlovic I.,10,124,2565,436,4,6,7,6,6,4,7,5,,,3,1,Completed,1.28,3.75,1.29,4.04,1.3,4.25,1.26,3.84
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Rublev A.,Sugita Y.,16,91,2004,608,6,2,6,3,7,6,,,,,3,0,Completed,1.12,6,1.14,6.9,1.14,7,1.12,6.24
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Verdasco F.,Basilashvili N.,51,29,1050,1485,4,6,7,6,6,4,6,4,,,3,1,Completed,1.61,2.3,1.56,2.6,1.68,2.6,1.58,2.39
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Isner J.,Tabilo A.,19,208,1860,233,6,4,6,3,6,2,,,,,3,0,Completed,1.11,6.5,1.13,7.1,1.14,7.95,1.11,6.52
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Goffin D.,Herbert P.H.,11,64,2555,865,6,1,6,4,4,6,1,6,6,3,3,2,Completed,1.14,5.5,1.15,6.61,1.16,7,1.13,5.92
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Khachanov K.,Ymer M.,17,78,1995,709,6,2,2,6,6,4,3,6,7,6,3,2,Completed,1.36,3.2,1.42,3.14,1.44,3.3,1.38,3.03
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Carreno Busta P.,Gojowczyk P.,30,120,1422,463,6,4,6,1,1,6,6,4,,,3,1,Completed,1.22,4.33,1.24,4.55,1.29,4.55,1.23,4.19
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Kyrgios N.,Simon G.,26,61,1520,890,6,2,6,4,4,6,7,5,,,3,1,Completed,1.2,4.5,1.21,5.02,1.22,5.5,1.19,4.71
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Wawrinka S.,Seppi A.,15,85,2045,646,4,6,7,5,6,3,3,6,6,4,3,2,Completed,1.22,4.33,1.21,5.09,1.24,5.09,1.21,4.48
